Time (UTC), Hm0 (m), Tm02 (s), Hm0 QC (-), Tm02 QC (-)
2023-06-07T05:30:00.000000000, 1.4090337122636307, 4.028606776672301, 1.0, 1.0
2023-06-07T06:00:00.000000000, 1.5099986131185037, 4.164395073390105, 1.0, 1.0
2023-06-07T06:30:00.000000000, 1.7105322106852743, 4.530224102962145, 1.0, 1.0
2023-06-07T07:00:00.000000000, 1.6401425049296856, 4.4924093043545215, 1.0, 1.0
2023-06-07T07:30:00.000000000, 1.4916698457646647, 4.224205163904538, 1.0, 1.0
2023-06-07T08:00:00.000000000, 1.3761909224963906, 3.9571781275937696, 1.0, 1.0
2023-06-07T08:30:00.000000000, 1.2144264309978199, 3.7951006250230908, 1.0, 1.0
2023-06-07T09:00:00.000000000, 1.2548067002468253, 3.749920043102367, 1.0, 1.0
2023-06-07T09:30:00.000000000, 1.3214916159290708, 3.7439848941164118, 1.0, 1.0
2023-06-07T10:00:00.000000000, 1.3677326880335865, 3.7588153345381103, 1.0, 1.0
2023-06-07T10:30:00.000000000, 1.2817450137101605, 3.6692463795537518, 1.0, 1.0
2023-06-07T11:00:00.000000000, 1.2436890682183197, 3.6713528033926845, 1.0, 1.0
2023-06-07T11:30:00.000000000, 1.3090874128859935, 3.9399820148637503, 1.0, 1.0
2023-06-07T12:00:00.000000000, 1.3311701376907419, 4.161658006286652, 1.0, 1.0
2023-06-07T12:30:00.000000000, 1.2269740319988867, 4.10153517130884, 1.0, 1.0
2023-06-07T13:00:00.000000000, 1.3371555705319247, 4.435598259795318, 1.0, 1.0
2023-06-07T13:30:00.000000000, 1.1895305566797, 4.181166458309226, 1.0, 1.0
2023-06-07T14:00:00.000000000, 1.2113340322454862, 4.040643412357244, 1.0, 1.0
2023-06-07T14:30:00.000000000, 1.1370039542154617, 3.9679473961043104, 1.0, 1.0
2023-06-07T15:00:00.000000000, 1.1238991620355419, 3.9114566848204944, 1.0, 1.0
2023-06-07T15:30:00.000000000, 1.31226116278649, 4.211647251469078, 1.0, 1.0
2023-06-07T16:00:00.000000000, 1.4800411342678388, 4.563482850601128, 1.0, 1.0
2023-06-07T16:30:00.000000000, 1.5539638323251606, 4.515228531504661, 1.0, 1.0
2023-06-07T17:00:00.000000000, 1.472819470289711, 4.3695999655573985, 1.0, 1.0
2023-06-07T17:30:00.000000000, 1.4975490584879476, 4.479035770983141, 1.0, 1.0
2023-06-07T18:00:00.000000000, 1.680797506714569, 4.938766823247401, 1.0, 1.0
2023-06-07T18:30:00.000000000, 1.5769263035063585, 4.583584211800885, 1.0, 1.0
2023-06-07T19:00:00.000000000, 1.6156619828332308, 4.515527439360383, 1.0, 1.0
2023-06-07T19:30:00.000000000, 1.8232581497193805, 5.004730461426689, 1.0, 1.0
2023-06-07T20:00:00.000000000, 1.7560326724151987, 4.610624806827678, 1.0, 1.0
2023-06-07T20:30:00.000000000, 1.7447170352445087, 4.7639999920450515, 1.0, 1.0
2023-06-07T21:00:00.000000000, 1.6721256868162815, 4.631252568391996, 1.0, 1.0
2023-06-07T21:30:00.000000000, 1.6455113681287796, 4.621755468244797, 1.0, 1.0
2023-06-07T22:00:00.000000000, 1.5482931019750523, 4.562755968133615, 1.0, 1.0
2023-06-07T22:30:00.000000000, 1.593679496635924, 4.480320646492387, 1.0, 1.0
2023-06-07T23:00:00.000000000, 1.6229017743523004, 4.671226179939517, 1.0, 1.0
2023-06-07T23:30:00.000000000, 1.4929117954350393, 4.477114847710615, 1.0, 1.0
2023-06-08T00:00:00.000000000, 1.4242324288044501, 4.463935673063388, 1.0, 1.0
2023-06-08T00:30:00.000000000, 1.4507710541552492, 4.579266822385987, 1.0, 1.0
2023-06-08T01:00:00.000000000, 1.2840960984340057, 4.373425402646147, 1.0, 1.0
2023-06-08T01:30:00.000000000, 1.209085499340995, 4.2754156420559255, 1.0, 1.0
2023-06-08T02:00:00.000000000, 1.297039040608083, 4.537569301087585, 1.0, 1.0
2023-06-08T02:30:00.000000000, 1.1852781038963403, 4.378290301113209, 1.0, 1.0
2023-06-08T03:00:00.000000000, 1.1725454417517287, 4.331138579468403, 1.0, 1.0
2023-06-08T03:30:00.000000000, 1.0148297815730887, 4.040716685386245, 1.0, 1.0
2023-06-08T04:00:00.000000000, 1.0982950783861247, 4.153165731860311, 1.0, 1.0
2023-06-08T04:30:00.000000000, 1.2061853672217986, 4.311516637024636, 1.0, 1.0
2023-06-08T05:00:00.000000000, 1.2843281194847957, 4.439247503417406, 1.0, 1.0
2023-06-08T05:30:00.000000000, 1.1360402483698702, 3.8882009987535286, 1.0, 1.0
2023-06-08T06:00:00.000000000, 1.1876658298369465, 3.852063099824335, 1.0, 1.0
2023-06-08T06:30:00.000000000, 1.2413367692487522, 3.8250473421227156, 1.0, 1.0
