Time (UTC), Hm0 (m), Tm02 (s), Hm0 QC (-), Tm02 QC (-)
2023-05-13T19:00:00.000000000, 0.7880183594013461, 3.077158412837668, 1.0, 1.0
2023-05-13T19:30:00.000000000, 0.9172794082414506, 3.1431057846130166, 1.0, 1.0
2023-05-13T20:00:00.000000000, 0.7304336861434255, 2.972043102095174, 1.0, 1.0
2023-05-13T20:30:00.000000000, 0.5707485630843191, 2.9076827239120924, 1.0, 1.0
2023-05-13T21:00:00.000000000, 0.5332848417089124, 2.7766860203707338, 1.0, 1.0
2023-05-13T21:30:00.000000000, 0.45173666153100733, 2.8174029124124282, 1.0, 1.0
2023-05-13T22:00:00.000000000, 0.48715528361633686, 2.872612384850555, 1.0, 1.0
2023-05-13T22:30:00.000000000, 0.5666934321431482, 2.8988659714837097, 1.0, 1.0
2023-05-13T23:00:00.000000000, 0.6363885723477494, 3.0136668535613174, 1.0, 1.0
2023-05-13T23:30:00.000000000, 0.5983513709999589, 2.9588897251637825, 1.0, 1.0
2023-05-14T00:00:00.000000000, 0.6607599490356233, 3.0196350958202336, 1.0, 1.0
2023-05-14T00:30:00.000000000, 0.5862170951171752, 3.0858712349003308, 1.0, 1.0
2023-05-14T01:00:00.000000000, 0.5375096017375433, 3.0290400938601936, 1.0, 1.0
2023-05-14T01:30:00.000000000, 0.5054041768071316, 2.9496337652427247, 1.0, 1.0
2023-05-14T02:00:00.000000000, 0.4949368159109154, 2.9270602038273497, 1.0, 1.0
2023-05-14T02:30:00.000000000, 0.5502734423505832, 2.9732132745464113, 1.0, 1.0
2023-05-14T03:00:00.000000000, 0.6993580485177006, 3.090006903751912, 1.0, 1.0
2023-05-14T03:30:00.000000000, 0.7051356209612972, 3.1415052311359184, 1.0, 1.0
2023-05-14T04:00:00.000000000, 0.8202207479815966, 3.3215264035801297, 1.0, 1.0
2023-05-14T04:30:00.000000000, 0.8149252088964144, 3.3551972139404294, 1.0, 1.0
2023-05-14T05:00:00.000000000, 0.7525776430302097, 3.223636157680245, 1.0, 1.0
2023-05-14T05:30:00.000000000, 0.7998721954516512, 3.199953546792992, 1.0, 1.0
2023-05-14T06:00:00.000000000, 0.807312790900331, 3.239346977765203, 1.0, 1.0
2023-05-14T06:30:00.000000000, 0.8469941154438967, 3.277922074373756, 1.0, 1.0
2023-05-14T07:00:00.000000000, 0.9646997026005533, 3.3737772767651513, 1.0, 1.0
2023-05-14T07:30:00.000000000, 0.8772687360595154, 3.2294308878863376, 1.0, 1.0
2023-05-14T08:00:00.000000000, 0.880225380613767, 3.276872053617647, 1.0, 1.0
2023-05-14T08:30:00.000000000, 0.8499850779783718, 3.2818263376036425, 1.0, 1.0
2023-05-14T09:00:00.000000000, 0.8825680762995943, 3.5428275399882607, 1.0, 1.0
2023-05-14T09:30:00.000000000, 0.7020418948432736, 3.4614556366861, 1.0, 1.0
2023-05-14T10:00:00.000000000, 0.7874600833799642, 3.325503017623688, 1.0, 1.0
2023-05-14T10:30:00.000000000, 0.777025608575666, 3.343696596948263, 1.0, 1.0
2023-05-14T11:00:00.000000000, 0.9028856107405077, 3.294645794216668, 1.0, 1.0
2023-05-14T11:30:00.000000000, 0.9237706556035081, 3.3421937735879523, 1.0, 1.0
